Year,Month,Scheme_Name,No_of_Schemes,No_of_Folios,Funds_Mobilized,Redemption,Net_Inflow,AUM,AAUM
2023,April,Conservative Hybrid Fund,20.0,516833.0,215.15813255,420.1395724,-204.98143985,23351.92587774,23307.00784237
2023,April,Balanced Hybrid Fund/Aggressive Hybrid Fund,31.0,5304415.0,1491.22046358,1922.76262292,-431.54215934,158740.82146844,156742.56196985
2023,April,Dynamic Asset Allocation/Balanced Advantage Fund,29.0,4443726.0,2964.87167568,3036.02154392,-71.1498682400002,196967.2096162,195105.78183647
2023,April,Multi Asset Allocation Fund,11.0,1067029.0,752.389781,307.65936569,444.73041531,27739.868204,28705.4158275
2023,April,Arbitrage Fund,26.0,444440.0,7908.0220883,4191.79017125,3716.23191705,71105.99920901,81242.95399257
2023,April,Equity Savings Fund,22.0,359867.0,464.94821834,601.24776355,-136.29954521,16399.36771802,16759.92899896
2023,April,Sub Total - III (i+ii+iii+iv+v+vi),139.0,12136310.0,13796.61035945,10479.62103973,3316.98931972,494305.19209341,501863.65046772
2023,April,Retirement Fund,26.0,2762964.0,262.87317908,123.14556895,139.72761013,18730.74398305,18334.36641519
2023,April,Childrens Fund,10.0,2928945.0,103.04542997,49.20285754,53.84257243,14817.621113,14576.7450566
2023,April,Sub Total - IV (i+ii),36.0,5691909.0,365.91860905,172.34842649,193.57018256,33548.36509605,32911.111471790005
2023,April,Index Funds,181.0,4020423.0,2759.77160022,2612.40545753,147.36614269,171093.48737755,169690.31514811
2023,April,GOLD ETF,13.0,4712199.0,270.592276,146.0559078,124.5363682,22949.9887347,22909.3782284
2023,April,Other ETFs,160.0,12110751.0,11873.8950147,5083.44226058,6790.45275412,502160.43494222,492705.07051584
2023,April,Fund of funds investing overseas,50.0,1315347.0,211.12102864,328.259307,-117.13827836,22638.84609868,22821.32645251
2023,April,Sub Total - V (i+ii+iii+iv),404.0,22158720.0,15115.37991956,8170.162932910001,6945.216986649999,718842.75715315,708126.09034486
2023,April,Total A-Open ended Schemes,1285.0,145925989.0,825334.1013550702,701720.6657915099,123613.43556356008,4129953.43153601,4119254.58236422
2023,April,Fixed Term Plan,114.0,149489.0,0.0,973.1681389,-973.1681389,23623.11734433,24297.05089106
2023,April,Capital Protection Oriented Schemes,7.0,12654.0,0.0,0.0,0.0,646.0404739,642.7289882
2023,April,Infrastructure Debt Fund,7.0,52.0,0.0,0.0,0.0,1996.4955847,1990.9745627
2023,April,Other Debt Scheme,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,April,Sub Total (i+ii+iii+iv),128.0,162195.0,0.0,973.1681389,-973.1681389,26265.65340293,26930.75444196
2023,April,ELSS,19.0,296030.0,0.0,25.37294026,-25.37294026,3486.2810571,3442.2744126
2023,April,Other Equity Schemes,8.0,29017.0,0.0,1179.4433592,-1179.4433592,1112.08,2085.6452352
2023,April,Sub Total (i+ii),27.0,325047.0,0.0,1204.81629946,-1204.81629946,4598.3610571,5527.919647799999
2023,April,Total B -Close ended Schemes,155.0,487242.0,0.0,2177.98443836,-2177.98443836,30864.01446003,32458.674089760003
2023,April,Total C Interval Schemes,12.0,2826.0,0.0003,0.6455,-0.6452,1004.1694,1002.1058
2023,April,Grand Total,1452.0,146416057.0,825334.1016550702,703899.2957298699,121434.80592520008,4161821.61539604,4152715.36225398
2023,August,Overnight Fund,34.0,762912.0,467846.93773187,464688.5718346,3158.36589726992,82759.9080804,104662.64977853
2023,August,Liquid Fund,36.0,1797419.0,326847.57953132,353671.25666747,-26823.67713615,450016.90109403,480164.12494715
2023,August,Ultra Short Duration Fund,24.0,645997.0,14148.26335902,18271.48898857,-4123.22562955,97045.68323901,99836.1459597
2023,August,Low Duration Fund,21.0,929069.0,11649.04635645,12156.82976729,-507.783410840002,106821.81909671,107551.81379227
2023,August,Money Market Fund,23.0,434688.0,32521.14974967,32429.65730019,91.4924494800216,150533.53074262,151951.68372342
2023,August,Short Duration Fund,24.0,494329.0,3691.13275199,4183.93381177,-492.80105978,99453.08343739,99145.34863973
2023,August,Medium Duration Fund,15.0,250419.0,244.66067807,445.1874499,-200.52677183,27354.46172371,27379.82588789
2023,August,Medium to Long Duration Fund,12.0,105893.0,92.0421969700001,243.27613842,-151.23394145,10166.20223001,10249.4748246
2023,August,Long Duration Fund,7.0,47453.0,228.1272848,47.73184063,180.39544417,9570.9489127,9440.6938547
2023,August,Dynamic Bond Fund,22.0,230149.0,786.68950403,651.69588905,134.99361498,30722.06086241,30479.188032
2023,August,Corporate Bond Fund,21.0,606872.0,4126.0820274,2370.63626924,1755.44575816,139506.40783054,137496.09432545
2023,August,Credit Risk Fund,14.0,230733.0,91.9756437299999,362.73020477,-270.75456104,24146.2152786,24203.72858696
2023,August,Banking and PSU Fund,23.0,281393.0,663.44833148,1648.10805779,-984.65972631,80387.62037811,80471.0833641
2023,August,Gilt Fund,22.0,181526.0,643.98706651,388.96031764,255.02674887,23664.50621949,23491.66070373
2023,August,Gilt Fund with 10 year constant duration,5.0,41330.0,87.1253447099999,305.28946233,-218.16411762,4028.93267336,4236.76248129
2023,August,Floater Fund,13.0,229032.0,5077.69656975,2753.08930911,2324.60726064,63406.36880616,62516.32554511
2023,August,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),316.0,7269214.0,868745.94412777,894618.4433087698,-25872.499181000054,1399584.65060525,1453276.60444663
2023,August,Multi Cap Fund,21.0,4666295.0,4544.50876295,1122.37095178,3422.13781117,90065.33090909,86591.82682404
2023,August,Large Cap Fund,30.0,13004992.0,3633.49175946,3982.47047637,-348.978716910004,262299.28068054,262556.78514638
2023,August,Large & Mid Cap Fund,26.0,8192387.0,3829.52569819,1716.36699552,2113.15870267,159363.06969459,156286.86269712
2023,August,Mid Cap Fund,29.0,11625895.0,5282.68348964,2770.34424722,2512.33924242,239462.22382782,231993.42713672
2023,August,Small Cap Fund,24.0,13846150.0,6734.90009226,2470.08448205,4264.81561021,194020.16780019,185823.78034745
2023,August,Dividend Yield Fund,9.0,775683.0,586.52551175,170.23451058,416.29100117,17732.4160688,17435.8572459
2023,August,Value Fund/Contra Fund,23.0,5183298.0,2342.17298141,977.54923337,1364.62374804,112731.06086592,111174.51895229
2023,August,Focused Fund,27.0,5181471.0,1675.21038511,2146.31402766,-471.103642549999,111637.01487597,111288.87363189
2023,August,Sectoral/Thematic Funds,136.0,13926575.0,8336.76646513,3530.95628736,4805.81017777,212650.64196351,207582.76204195
2023,August,ELSS,42.0,15381023.0,1766.33847654,1793.03007701,-26.6916004699997,176213.88148012,175092.61268463
2023,August,Flexi Cap Fund,36.0,13000422.0,6090.3908149,3897.53457185,2192.85624305,283765.409749,280250.67857832
2023,August,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),403.0,104784191.0,44822.51443733999,24577.25586077,20245.25857657,1859940.49791555,1826077.9852866896
2023,August,Conservative Hybrid Fund,20.0,528375.0,743.38300205,476.15799132,267.22501073,25082.37738636,24780.65770956
2023,August,Balanced Hybrid Fund/Aggressive Hybrid Fund,30.0,5316778.0,2745.34353496,2138.01317004,607.33036492,171832.59127135,171147.83496972
2023,August,Dynamic Asset Allocation/Balanced Advantage Fund,29.0,4320241.0,6793.93531387,3177.92828604,3616.00702783,209563.07515861,208285.37873758
2023,August,Multi Asset Allocation Fund,13.0,1219116.0,2082.0700709,464.73665129,1617.33341961,35288.305532,36097.493721
2023,August,Arbitrage Fund,26.0,442592.0,16390.0632318,6907.41071193,9482.65251987,98939.38483172,110690.40265562
2023,August,Equity Savings Fund,22.0,371658.0,2104.18991261,613.05423183,1491.13568078,20516.56878667,20125.46399687
